FID,Canopy,Elev,EVI,EVI_std,NDVI,NDVI_std,NPP,NPP_std,PrecipYear,TRI,TotalPrecip_JuneSep,MeanMonthlyPrecip_JuneSep,NumSettlements,PercWater,DistWater,DistGoodPA,DistSettlementNEW,DistInsidePA,Latitude,LivestockSignPer500m,LivestockPropSegs,DirectCattle_Per500m,HumanSignPer500m,HumanPropSegs,DirectPeople_Per500m
171,0.23257225,-0.504844148,-1.649911808,0.965604257,-1.185148653,0.640129233,0.596543133,0.619478321,-0.514598377,0.881117458,0.01793445,0.565272665,-0.33262453,-0.114027834,-0.510195539,-0.433012425,-0.704347167,2.143505567,-0.403449784,-0.027758562,-0.121702407,-0.213863037,-0.115607981,0.09321045,-0.449100415
172,-0.46229713,-0.596417214,-1.154671258,0.111440785,-0.851225746,0.227597306,0.192008071,0.880783393,-0.469390466,0.163356336,0.01793445,0.565272665,-0.33262453,0.438277773,-0.654963039,-0.461066625,-0.595963426,2.009721074,-0.403449784,0.646782125,0.887573138,-0.401167651,0.383216994,0.698258485,1.045754773
173,0.485403141,-0.702353773,-1.272605379,0.199857841,-0.642967011,0.822790188,0.668418971,1.127755784,-0.430440956,0.079550393,0.01793445,0.565272665,2.604512832,0.105753304,-0.62101886,-0.487571433,-0.955250054,1.666047675,-0.403449784,-0.013455842,0.380239389,2.11971372,1.031643311,1.243033536,0.615672431
174,0.716233149,-0.801969858,-0.998776237,0.051610602,-0.34891943,-0.047991598,0.645793409,0.138884385,-0.406503223,0.06923035,0.01793445,0.565272665,-0.626338267,-0.281480012,-0.438712864,-0.514104997,-0.139560105,1.283170509,-0.403449784,-0.935702915,-1.031471913,-0.401167651,-0.591794783,-0.666065515,-0.449100415
176,1.024082546,-1.000710396,-0.773526995,0.797678118,0.233785686,0.738303385,0.783468088,0.860340784,-0.379292681,0.049874798,-0.282832608,-0.047248016,4.073081513,-0.261537445,-0.778318579,-0.570881777,-0.712744214,0.599865693,-0.403449784,-0.295335461,-0.056718871,0.837314563,0.396848699,0.938356912,0.105397858
177,0.335797135,-1.017450319,-0.751873996,-0.376549952,-0.188346082,-0.079552827,0.596663618,0.312935752,-0.365258432,0.582549053,-0.663657321,-0.82280839,0.842230415,-0.260977698,-0.748631296,-0.598066135,-0.890854079,0.248819113,-0.403449784,-0.298090621,-0.446620088,0.059510788,-0.032609609,-0.060452543,-0.449100415
178,-0.865874814,-1.067224814,-0.931547521,-0.073440258,-0.535158711,0.46746163,-0.274915254,0.792225936,-0.367018722,1.43073877,-1.206188703,-1.927689,0.548516678,-0.263927373,-0.864753144,-0.630285333,-0.744588438,-0.095049465,-0.403449784,-0.62715628,-0.57658716,-0.401167651,-0.330693279,-0.265336534,-0.449100415
179,-1.547250319,-1.135402001,-1.104305399,0.265039707,-0.923064826,0.796331022,-0.553719778,1.450356493,-0.34988794,0.538512494,-1.192723348,-1.900266421,0.254802942,-0.284186296,-0.642178221,-0.726203082,-0.890884724,-0.45511396,-0.403449784,-0.442852448,-0.273330658,4.123268135,-0.544059387,-0.584044963,0.119916085
180,-0.756489682,-1.200149955,-1.540992063,0.760168897,-0.88836729,0.824008483,-0.260319494,1.655904995,-0.354111158,-0.453753965,-1.174728738,-1.863619885,0.254802942,-0.200008026,-0.493040379,-0.857491006,-0.76917426,-0.8073868,-0.403449784,-0.633659311,-0.57658716,0.907345776,-0.116949102,0.09321045,0.597065537
184,-1.618761338,0.709794542,0.298552638,-0.992646163,-0.502848275,-1.092478205,-1.481293618,-1.284887408,-0.548811867,0.517074443,0.01793445,0.565272665,-0.33262453,-0.293304144,0.250471026,0.461622793,-0.340388105,-0.777738926,-0.22764485,-0.359664699,-0.204408726,-0.356604918,-0.041567054,0.158400811,-0.449100415
189,-0.76307365,0.506281626,0.217681267,-1.005987279,-0.511343088,-0.872452823,-0.931334321,-0.676995816,-0.4942934,-1.016889618,0.01793445,0.565272665,-0.626338267,-0.294270745,1.857844838,0.130882416,0.023511899,0.82393531,-0.22764485,-0.935702915,-1.031471913,-0.401167651,-0.787035708,-0.982430501,-0.449100415
190,-0.76959243,0.43954274,0.502904034,-1.20838815,-0.393678774,-1.240507567,-0.509409197,-0.708014372,-0.469082292,-1.215631929,0.01793445,0.565272665,-0.626338267,-0.294270745,0.931524229,0.082607196,0.564154107,1.13461683,-0.22764485,-0.935702915,-1.031471913,-0.401167651,-0.787035708,-0.982430501,-0.449100415
195,-1.285130165,-0.274775726,0.466506379,-1.299102275,-0.271517732,-1.18065466,-0.094608814,-1.345086391,-0.330415033,0.192854335,0.01793445,0.565272665,-0.626338267,-0.294270745,0.310406305,-0.2628457,0.659096164,2.619307615,-0.22764485,-0.78506169,-0.804029536,-0.401167651,-0.675636045,-0.803157009,-0.449100415
