,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
21,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,1.178602536,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,1.218288101,-0.408820075,1.15923598,-0.408820075,3.851504727,1.088754416,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,4.205023742,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,1.173364041,1.203048844,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,1.262577192,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,1.208287338,-0.408820075,-0.408820075,-0.408820075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,4.341383344,-0.408820075,-0.408820075,1.11780425,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,0.83000453,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,1.250989007,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,1.222732884,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,1.042877902,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
